English,Urdu
i love movies,مجھے فلمیں پسند ہے۔
the train leaves at 10:30 in the morning,ٹرین صبح 10:30 بجے روانہ ہوتی ہے۔
are you short,کیا آپ چھوٹے ہیں؟
i am in the attic,میں اٹاری میں ہوں
eat everything,سب کھا لو۔
that is not my line,یہ میری لائن نہیں ہے
hi zain what is up,ہیلو زین کیا ہو رہا ہے
i will warn tom,میں ٹام کو خبردار کروں گا۔
i am not a spy,میں جاسوس نہیں ہوں۔
he felt at home,اس نے گھر میں محسوس کیا
this is a book,یہ ایک کتاب ہے
zain likes you a lot,زین آپ کو بہت پسند کرتا ہے۔
i am a boy,میں ایک لڑکا ہوں
i am not tom,میں ٹام نہیں ہوں۔
he may have been ill,وہ بیمار ہو سکتا ہے
are you fond of music,کیا آپ کو موسیقی کا شوق ہے؟
stop me if you can,روک سکتے ہو تو مجھے روک لو
that is my overcoat,وہ میرا اوور کوٹ ہے۔
how much is it,یہ کتنے کا ہے
he is a strange person,وہ ایک عجیب شخص ہے
it is pitch dark,یہ اندھیرا ہے
zain quit smoking,زین نے سگریٹ نوشی چھوڑ دی۔
i think you are dumb,مجھے لگتا ہے کہ آپ گونگے ہیں۔
zain went back home,زین گھر واپس چلا گیا۔
i wear glasses,میں چشمہ پہنتا ہوں
youll never change,آپ کبھی نہیں بدلیں گے۔
i dont know,میں نہیں جانتا
you are overworked,آپ زیادہ کام کر رہے ہیں
i know who she is,میں جانتا ہوں کہ وہ کون ہے۔
i signed the check,میں نے چیک پر دستخط کر دیئے۔
how dare you,تم نے میرا نمبر کیوں بلاک کیا
give me back my ring,مجھے میری انگوٹھی واپس دو
where is your money,آپ کا پیسہ کہاں ہے؟
stop pulling my hair,میرے بال کھینچنا بند کرو
please go away,مہربانی کرکے چلے جاو
wholl come,سب آئے گا
i study psychology,میں نفسیات کا مطالعہ کرتا ہوں۔
you scare me,تم نے مجھے ڈرا دیا
please sit here,براہ مہربانی یہاں بیٹھیں
it looks familiar,یہ واقف لگتا ہے
i did it for you,میں نے یہ آپ کے لیے کیا۔
the idea is not new,خیال نیا نہیں ہے
you are tempting fate,آپ قسمت کو آزما رہے ہیں۔
i stayed,میں ٹھہرا رہا
they have forgiven me,انہوں نے مجھے معاف کر دیا ہے
his memory amazes me,اس کی یاد مجھے حیران کر دیتی ہے۔
i have lots of time,میرے پاس بہت وقت ہے۔
i didnt get the job,مجھے نوکری نہیں ملی
i cared about tom,میں نے ٹام کی پرواہ کی۔
i tried to help,میں نے مدد کرنے کی کوشش کی۔
we kissed each other,ہم نے ایک دوسرے کو چوما
its seven oclock,اس کے سات بجے
zain slapped mary,زین نے مریم کو تھپڑ مارا۔
you work too much,آپ بہت زیادہ کام کرتے ہیں
i think he wont come,مجھے لگتا ہے کہ وہ نہیں آئے گا۔
lets take a taxi,چلو ٹیکسی لیتے ہیں۔
i answered for him,میں نے اس کے لیے جواب دیا۔
i cant drink milk,میں دودھ نہیں پی سکتا
i remembered it,میں نے اسے یاد کیا
thats a book,یہ ایک کتاب ہے
zain likes hunting,زین کو شکار پسند ہے۔
did zain pay too,زین نے بھی ادا کیا
were back early,جلدی واپس آئے تھے
she broke my heart,اس نے میرا دل توڑ دیا۔
you must go at once,آپ کو فوراً جانا چاہیے۔
what wasnt easy,کیا آسان نہیں تھا
why is no one here,یہاں کوئی کیوں نہیں ہے
walls have ears,دیواروں کے کان ہوتے ہیں۔
we mustnt be late,ہمیں دیر نہیں کرنی چاہیے۔
live and let live,جیو اور جینے دو
i am coughing,میں کھانس رہا ہوں
put your glasses on,اپنی عینک لگائیں
i know only this,میں صرف یہ جانتا ہوں۔
would you please speak slowly,کیا آپ آہستہ بولیں گے؟
hey what is that,ارے یہ کیا ہے
he achieved his goal,اس نے اپنا مقصد حاصل کیا
i like china,مجھے چین پسند ہے۔
i agree with his plan,میں اس کے منصوبے سے متفق ہوں۔
i yelled for help,میں نے مدد کے لیے پکارا۔
i love the idea,مجھے خیال پسند ہے۔
i will come alone,میں اکیلا آؤں گا۔
who complained,جس نے شکایت کی
i see something,میں کچھ دیکھ رہا ہوں۔
i am at your service,میں آپ کی خدمت میں حاضر ہوں۔
zain took friday off,زین نے جمعہ کی چھٹی لے لی
i will make some coffee,میں کافی بناؤں گا۔
anybody can do that,کوئی بھی ایسا کر سکتا ہے
zain saw someone,زین نے کسی کو دیکھا
i am in the house,میں گھر میں ہوں
some bugs were fixed,کچھ کیڑے طے کیے گئے تھے۔
your son is an angel,آپ کا بیٹا فرشتہ ہے۔
i asked where zain was,میں نے پوچھا زین کہاں ہے؟
wheres my wallet,میرا بٹوہ کہاں ہے
you need therapy,آپ کو تھراپی کی ضرورت ہے
he never lies,وہ کبھی جھوٹ نہیں بولتا
he bores everybody,وہ سب کو بور کرتا ہے
why are you so sad,تم اتنے اداس کیوں ہو
they said its ok,انہوں نے کہا کہ ٹھیک ہے
a lion is strong,ایک شیر مضبوط ہے
he is always happy,وہ ہمیشہ خوش رہتا ہے
i never make my bed,میں اپنا بستر کبھی نہیں بناتا
i have a lot of money,میرے پاس بہت پیسہ ہے۔
mary is blonde,مریم سنہرے بالوں والی ہے
i have to do my best,مجھے اپنی پوری کوشش کرنی ہے۔
he came to pick me up,وہ مجھے لینے آیا تھا۔
i remember tom,مجھے ٹام یاد ہے۔
where did you buy flowers,آپ نے پھول کہاں سے خریدے؟
examine it,اس کی جانچ کریں
she looked excited,وہ پرجوش لگ رہا تھا
my father is busy,میرے والد مصروف ہیں
you are hopeless,تم نا امید ہو
they left the place a few weeks ago,انہوں نے چند ہفتے قبل اس جگہ کو چھوڑ دیا تھا۔
how does tom feel,ٹام کی اب طبیعت کیسی ہے؟
i am nearsighted,میں بصیرت والا ہوں۔
zain looked lonely,زین اکیلا لگ رہا تھا
they made fun of him,انہوں نے اس کا مذاق اڑایا
do you like the city,کیا آپ کو شہر پسند ہے؟
i am about to leave,میں جانے والا ہوں۔
do as he says,جیسا وہ کہتا ہے کرو
zain went home angry,زین غصے سے گھر چلا گیا۔
wheres the bathroom,غسل خانہ کہاں ہے
i had two dogs,میرے پاس دو کتے تھے۔
it snowed,برف پڑی
zain was one of us,زین ہم میں سے ایک تھا۔
she bought a chicken,اس نے ایک چکن خریدا
its a cloudy day,یہ ایک ابر آلود دن ہے
i am not too tired,میں زیادہ تھکا ہوا نہیں ہوں۔
"good day to you, sir","آپ کا دن اچھا ہو، جناب"
"i am sorry, weâ€™re sold out","مجھے افسوس ہے، ہم بک چکے ہیں۔"
zain opened the cage,زین نے پنجرہ کھولا۔
is that a squirrel,کیا یہ گلہری ہے؟
which restaurant do you recommend,آپ کون سا ریستوراں تجویز کرتے ہیں؟
the dog began to run,کتا بھاگنے لگا
this shopkeeper sells adulterated stuff,یہ دکاندار ملاوٹ والی چیزیں بیچتا ہے۔
good idea,اچھا خیال
it was urgent,یہ ضروری تھا
its an ambush,یہ ایک گھات لگا کر حملہ ہے
i think otherwise,میں دوسری صورت میں سوچتا ہوں
who wrote the letter,خط کسنے لکھا
the plane flew over the mountain,جہاذ پہاڑ کے اوپر سے گزرا۔
i do that a lot,میں یہ بہت کرتا ہوں۔
i am flattered,میں خوش ہوں
its we will worth it,ہم اس کے قابل ہوں گے
i cant move my legs,میں اپنی ٹانگیں ہلا نہیں سکتا
count from one to ten,ایک سے دس تک شمار کریں۔
he kept quite calm,وہ کافی پرسکون رہا
you are a good liar,تم ایک اچھے جھوٹے ہو
go somewhere else,کہیں اور جاؤ
zain is still crying,زین اب بھی رو رہا ہے
i cant find my bag,میں اپنا بیگ نہیں ڈھونڈ سکتا
stop messing around,ارد گرد گڑبڑ کرنا بند کرو
this is my kitchen,یہ میرا کچن ہے۔
my bicycle needs to be repaired,میری سائیکل کو ٹھیک کرنے کی ضرورت ہے۔
say you love me,کہو تم مجھ سے محبت کرتے ہو۔
what should i say,مجھے کیا کہنا چاہیے؟
he is at the office,وہ دفتر میں ہے
zain has hay fever,زین کو بخار ہے۔
clean up the room,کمرے کو صاف کرو
you dont work here,آپ یہاں کام نہیں کرتے
am i really that bad,کیا میں واقعی اتنا برا ہوں؟
dont cry,رونا مت
does he have a dog,کیا اس کے پاس کتا ہے؟
why do you hate me,تم مجھ سے نفرت کیوں کرتے ہو
look out your window,اپنی کھڑکی سے باہر دیکھو
do you need the keys,کیا آپ کو چابیاں چاہیے؟
will you go with tom,کیا آپ ٹام کے ساتھ جائیں گے؟
they will understand,وہ سمجھ جائیں گے
this is a coconut,یہ ایک ناریل ہے
thats the main gate,وہ مین گیٹ ہے۔
i agree with his idea,میں اس کے خیال سے اتفاق کرتا ہوں۔
perfect,کامل
take off your hat,اپنی ٹوپی اتار دو
mary is zains wife,مریم زین کی بیوی ہے۔
i dont need a car,مجھے گاڑی کی ضرورت نہیں ہے۔
this place is packed,یہ جگہ بھری ہوئی ہے
were under attack,حملے کی زد میں تھے۔
zain looks alarmed,زین پریشان لگ رہا ہے
what is mine is yours,جو میرا ہے وہ تمہارا ہے۔
zain is getting bored,زین بور ہو رہا ہے
he needs an umbrella,اسے چھتری کی ضرورت ہے۔
is that a bird,کیا یہ پرندہ ہے؟
he looks happy painting the picture,وہ تصویر پینٹ کرتے ہوئے خوش دکھائی دے رہا ہے۔
how could it be,یہ کتنا برا ہوسکتا ہے؟
i wonder who she is,مجھے حیرت ہے کہ وہ کون ہے۔
i will vouch for him,میں اس کی ضمانت دوں گا۔
can it really be mine,کیا یہ واقعی میرا ہو سکتا ہے؟
you saved us all,آپ نے ہم سب کو بچایا
i hate rainy days,مجھے بارش کے دنوں سے نفرت ہے۔
stop right there,وہیں رک جاؤ
what is it made of,یہ کس چیز سے بنا ہے
i will always love you,میں تمہیں ہمیشہ چاہوں گا
were not fighting,نہیں لڑ رہے تھے
please step back,براہ کرم پیچھے ہٹیں۔
zain likes cats,زین کو بلیاں پسند ہیں۔
it was a good answer,یہ ایک اچھا جواب تھا
i am free,میں آزاد ہوں
we need to win,ہمیں جیتنے کی ضرورت ہے
we need you,ہمیں آپ کی ضرورت ہے۔
you look so pale,تم بہت پیلے لگ رہے ہو
what did zain want,زین کیا چاہتا تھا
what did it cost,اس کی قیمت کیا تھی
he was great,وہ بہت اچھا تھا
zain is their leader,زین ان کا لیڈر ہے۔
i like english better,مجھے انگریزی بہتر پسند ہے۔
are there survivors,کیا وہاں زندہ بچ گئے ہیں؟
i have to report this,مجھے اس کی اطلاع دینی ہے۔
there is a vast difference between me and you,میرے اور آپ میں بہت فرق ہے۔
hold zain for me,میرے لیے زین رکھو
i like tea,مجھے چائے پسند ہے۔
mary is vivacious,مریم متحرک ہے
may i sit down,کیا میں بیٹھ سکتا ہوں
zain is very timid,زین بہت ڈرپوک ہے۔
i want to get drunk,میں نشے میں جانا چاہتا ہوں۔
this novel is boring,یہ ناول بورنگ ہے
throw zain the ball,زین کو گیند پھینک دو
i continued working,میں نے کام جاری رکھا
they cant hear you,وہ آپ کو سن نہیں سکتے
they are my friends,وہ میری سہلیاں ہیں۔
was that all you saw,یہ سب آپ نے دیکھا
have a nice weekend,ایک اچھا اختتام ہفتہ ہے
we were sick,ہم بیمار تھے
i am good at singing,میں گانے میں اچھا ہوں۔
zain sings off key,زین نے چابی بند کی
i am zains grandmother,میں زین دادی ہوں۔
i am speaking,میں بول رہا ہوں
she sells flowers,وہ پھول بیچتی ہے۔
can you explain that,کیا آپ اس کی وضاحت کر سکتے ہیں؟
this is a sign,یہ ایک نشانی ہے
he is an italian,وہ ایک اطالوی ہے
its unnecessary,یہ غیر ضروری ہے
i have got a secret,میرے پاس ایک راز ہے
how did it go,کیسا رہا
i enjoyed it a lot,میں نے بہت لطف اٹھایا
he is unconscious,وہ بے ہوش ہے
we will talk later,ہم بعد میں بات کریں گے
zain is a good pilot,زین ایک اچھا پائلٹ ہے۔
are you going to sing,کیا آپ گانے جا رہے ہیں؟
i am jealous,میں غیرت مند ہوں
i am glad you agree,مجھے خوشی ہے کہ آپ اتفاق کرتے ہیں۔
tomll go,تم جاؤ
you make me so happy,آپ مجھے تو خوش کر دے
what did he ask you,اس نے تم سے کیا پوچھا
you can come with us,آپ ہمارے ساتھ آ سکتے ہیں۔
why is zain even here,زین یہاں بھی کیوں ہے؟
you may go home now,آپ اب گھر جا سکتے ہیں
can i go home now,کیا میں اب گھر جا سکتا ہوں؟
she has books,اس کے پاس کتابیں ہیں۔
i have a good idea,میرے پاس ایک اچھا خیال ہے۔
how could i help you,میں آپ کی مدد کیسے کر سکتا ہوں۔
did he go to see mary,کیا وہ مریم سے ملنے گیا تھا؟
was anybody killed,کیا کوئی مارا گیا؟
wait a second,ایک سیکنڈ انتظار کرو
she made thirty thousand dollars,اس نے تیس ہزار ڈالر بنائے
watch your tongue,اپنی زبان کو دیکھو
he is a bit drunk,وہ تھوڑا نشے میں ہے
thats hard to say,یہ کہنا مشکل ہے
zain tries,زین کوشش کرتا ہے
stir the soup,سوپ ہلائیں
thats how it was,یہ کیسے تھا
a lot has happened,بہت کچھ ہوا ہے
it might rain,بارش ہو سکتی ہے
you are doubleparked,آپ ڈبل پارک ہیں
he is very kind to me,وہ مجھ پر بہت مہربان ہے۔
he is nice to me,وہ میرے ساتھ اچھا ہے
get out of bed,بستر سے نکلو
it is snowing now,اب برف باری ہو رہی ہے۔
if need be i can kill you,اگر ضرورت پڑی تو میں تمہیں مار سکتا ہوں۔
i really do like you,میں واقعی آپ کو پسند کرتا ہوں۔
tomll lose,tomll کھو
hey guys what is up,ارے لوگ کیا ہو رہا ہے
thats too personal,یہ بہت ذاتی ہے
i am afraid,مجھے ڈر ہے
i called for help,میں نے مدد کے لیے بلایا
she lost her way,وہ اپنا راستہ کھو دیا
have you eaten yet,کیا تم نے ابھی تک کھایا ہے؟
we are young,ہم جوان ہیں
are you getting tired,کیا آپ تھک گئے ہیں؟
it was a hot day,یہ ایک گرم دن تھا
zain ate my cookies,زین نے میری کوکیز کھا لیں۔
i did what i could,میں نے وہ کیا جو میں کر سکتا تھا۔
i do my best,میں اپنی پوری کوشش کرتا ہوں۔
that is not true,یہ سچ نہیں ہے۔
zain has brown hair,زین کے بھورے بال ہیں۔
may i speak to you,کیا میں آپ سے بات کر سکتا ہوں
i will do what zain says,میں وہی کروں گا جو زین کہے گا۔
she is active,وہ فعال ہے
i hope not,مجھے امید نہیں
i cleaned the toilet,میں نے ٹوائلٹ صاف کیا۔
are you alone,کیا آپ اکیلے ہیں
he looked quite tired,وہ کافی تھکا ہوا لگ رہا تھا
i will be right there,میں وہیں رہوں گا۔
how is that possible,یہ کیسے ممکن ہے
he appeared hungry,وہ بھوکا نظر آیا
is zain around,ارد گرد زین ہے
give me some advice,مجھے کچھ مشورہ دو
he saw everything,اس نے سب کچھ دیکھا
i am dog tired,میں کتا تھکا ہوا ہوں
do you know who he is,کیا تم جانتے ہو وہ کون ہے؟
i wont talk to you,میں تم سے بات نہیں کروں گا۔
everyone sat down,سب بیٹھ گئے
i am overreacting,میں حد سے زیادہ ردعمل کر رہا ہوں۔
zain opposed the plan,زین نے اس منصوبے کی مخالفت کی۔
why did zain do that,زین نے ایسا کیوں کیا
i think zain needs me,مجھے لگتا ہے کہ زین کو میری ضرورت ہے۔
i ran out of fuel,میرا ایندھن ختم ہو گیا۔
keep me posted,مجھے پوسٹ رکھو
whys that important,یہ کیوں اہم ہے
this is my bag,یہ میرا بیگ ہے۔
is zain coming,زین آ رہا ہے؟
things change,چیزوں کو لازماً تبدیل ہونا چاہئے!
i need a vacation,مجھے چھٹی چاہیے
i have money,میرے پاس پیسے ہیں
i like jazz,مجھے جاز پسند ہے۔
he is raking it in,وہ اسے اندر کر رہا ہے
were experienced,تجربہ کار تھے
i already said no,میں نے پہلے ہی کہا نہیں
she opened the door,اس نے دروازہ کھولا
it would be fun,یہ مزہ آئے گا
he is a journalist,وہ ایک صحافی ہے
he stopped talking,اس نے بولنا بند کر دیا
the idea is not bad,خیال برا نہیں ہے
keep writing,لکھتے رہیں
say that you love me,کہوکہ تمہیں مجھ سے محبت ہے
zain is unmerciful,زین بے رحم ہے
her son has her eyes,اس کے بیٹے کی آنکھیں ہیں۔
how are you doing today,aaj aap ki tabiyat kaisi hai
dont open this box,اس باکس کو مت کھولو
zains harmless,زین بے ضرر
everything is working,سب کچھ کام کر رہا ہے
he got on the train,وہ ٹرین پر چڑھ گیا
we could both go,ہم دونوں جا سکتے ہیں۔
those are my books,وہ میری کتابیں ہیں۔
may god bless you,جزاى الأه
did zain talk about it,زین نے اس کے بارے میں بات کی؟
zain is a refugee,زین ایک مہاجر ہے۔
all my calculations went wrong,میرے سارے حساب غلط ہو گئے۔
can you jump rope,کیا آپ رسی کود سکتے ہیں؟
zain isnt too bright,زین زیادہ روشن نہیں ہے۔
zain hates your guts,زین کو آپ کی ہمت سے نفرت ہے۔
it has cooled off,یہ ٹھنڈا ہو گیا ہے
we kept our word,ہم نے اپنا لفظ رکھا
did you say something,آپ نے کچھ کہا؟
there is no antidote,کوئی تریاق نہیں ہے
let me try,مجھے کوشش کرنے دو
i can do it now,میں اب کر سکتا ہوں۔
i will take tom,میں ٹام کو لے جاؤں گا۔
i pretended to work,میں نے کام کرنے کا بہانہ کیا۔
are you a good cook,کیا آپ اچھے باورچی ہیں؟
go home now,ابھی گھر جاو
i am helping you,میں آپ کی مدد کر رہا ہوں۔
i am not creative,میں تخلیقی نہیں ہوں۔
they say zain is gone,کہتے ہیں زین چلا گیا
i am not a magician,میں جادوگر نہیں ہوں۔
i will come with you,میں تمہارے ساتھ آؤں گا۔
zain lost his hat,زین نے اپنی ٹوپی کھو دی۔
he did nothing wrong,اس نے کچھ غلط نہیں کیا
stop being so naive,اتنا بولی ہونا بند کرو
i have climbed mt fuji,میں فوجی پہاڑ پر چڑھ چکا ہوں۔
when is the train leaving,ٹرین کب روانہ ہو رہی ہے
you are so hot-headed,آپ بہت گرم سر ہیں
zain ran out of gas,زین کی گیس ختم ہو گئی۔
i am not denying it,میں اس سے انکار نہیں کر رہا ہوں۔
it was very ugly,یہ بہت بدصورت تھا
he showed me a lot of beautiful photos,اس نے مجھے ڈھیڑ ساری خوبصورت تصویریں دکھائیں۔
there is a big hole,کوئی
i am glad you are glad,میں خوش ہوں تم خوش ہو
he mentioned it,اس نے اس کا ذکر کیا
we will be having a good time,ہم اچھا وقت گزاریں گے۔
she drives me mad,وہ مجھے پاگل بناتی ہے۔
just do your job,بس اپنا کام کرو
you owe me something,تم نے مجھے کچھ دینا ہے
i know what i said,میں جانتا ہوں کہ میں نے کیا کہا
were quite tired,کافی تھکے ہوئے تھے
i came to say goodbye,میں الوداع کہنے آیا ہوں۔
my wife was a smith,میری بیوی ایک سمتھ تھی
stop meddling,مداخلت بند کرو
do you have some wine,کیا آپ کے پاس شراب ہے؟
its an older model,یہ ایک پرانا ماڈل ہے
he is a jealous man,وہ ایک غیرت مند آدمی ہے
he and i are friends,وہ اور میں دوست ہیں
i am telling a story,میں ایک کہانی سنا رہا ہوں۔
i play in a band,میں ایک بینڈ میں کھیلتا ہوں۔
i lost that bet,میں وہ شرط ہار گیا۔
the auction is over,نیلامی ختم ہو گئی ہے
i hear only you,میں صرف آپ کو سنتا ہوں۔
"waiter, the spoon is not clean","ویٹر، چمچ صاف نہیں ہے۔"
zain has arthritis,زین کو گٹھیا ہے۔
you cant stay here,تم یہاں نہیں رہ سکتے
she is eating,وہ کھا رہی ہے
whatll you tell tom,آپ ٹام کو کیا بتائیں گے؟
zain lacks discipline,زین میں نظم و ضبط کا فقدان ہے۔
zain is waking up,زین جاگ رہا ہے
we could use a hand,ہم ایک ہاتھ استعمال کر سکتے ہیں
i am busy,میں مصروف ہوں
give me the bill,مجھے بل دو
lets just go home,چلو گھر چلتے ہیں
come down here,یہاں نیچے آو
i am eating noodles,میں نوڈلز کھا رہا ہوں۔
everyone stood,سب کھڑے ہو گئے
i am not dead yet,میں ابھی مرا نہیں ہوں۔
mary slapped tom,مریم نے ٹام کو تھپڑ مارا۔
i didnt do anything,میں نے کچھ نہیں کیا۔
zain is relaxed,زین پر سکون ہے۔
were brothers,بھائی تھے
i go to the park,میں پارک جاتا ہوں۔
i wanted to sell it,میں اسے بیچنا چاہتا تھا۔
the sun is coming up,سورج آ رہا ہے
thats just the idea,یہ صرف خیال ہے
do you even care,کیا آپ کو بھی پرواہ ہے؟
these books are new,یہ کتابیں نئی ہیں۔
zain is cold,زین ٹھنڈا ہے
i bought a book,میں نے ایک کتاب خریدی۔
it is already eleven,یہ پہلے ہی گیارہ ہے
do as you please,جیسا تم چاہو کرو
i want a pet tiger,مجھے ایک پالتو شیر چاہیے
zain tires easily,زین ٹائر آسانی سے
dont touch that,اسے مت چھو
i love this school,میں اس اسکول سے محبت کرتا ہوں۔
i cant go anywhere,میں کہیں نہیں جا سکتا
how late is it,کتنی دیر ہو گئی ہے
you are my friend,aap mujhse dosti karoge
i have got a good idea,مجھے ایک اچھا خیال ملا ہے۔
can you tell me what happened here,کیا آپ مجھے بتا سکتے ہیں کہ یہاں کیا ہوا؟
we all enjoyed it,ہم سب نے اس کا لطف اٹھایا
give me that one,مجھے وہ ایک دو
let me see your ring,مجھے آپ کی انگوٹھی دیکھنے دو
lock the door,دروازہ بند کرو
any book will do,کوئی بھی کتاب کرے گا
i know you like coffee,میں جانتا ہوں کہ آپ کو کافی پسند ہے۔
you need to let go,آپ کو جانے کی ضرورت ہے
zain stutters,زین stutters
i meant you no harm,میرا مطلب ہے آپ کو کوئی نقصان نہیں پہنچا
its still closed,یہ اب بھی بند ہے
i am fixing something,میں کچھ ٹھیک کر رہا ہوں۔
fill in the blanks,خالی جگہیں پر کرنا
most people think so,زیادہ تر لوگ ایسا سوچتے ہیں
i have no allergies,مجھے کوئی الرجی نہیں ہے۔
he forgot my birthday,وہ میری سالگرہ بھول گیا
its a true story,یہ ایک سچی کہانی ہے
i wont get caught,میں پکڑا نہیں جاؤں گا۔
who did you meet,آپ کس سے ملے؟
i major in economics,میں معاشیات میں بڑا ہوں۔
he loves fishing,وہ ماہی گیری سے محبت کرتا ہے
he is no ordinary man,وہ کوئی عام آدمی نہیں ہے
i cant tell you yet,میں آپ کو ابھی تک نہیں بتا سکتا
why would i do that,میں ایسا کیوں کرنے لگا
i manage to support my family,میں اپنے خاندان کو سہارا دیتا ہوں۔
zain is quite funny,زین کافی مضحکہ خیز ہے۔
dont ruin,برباد نہ کرو
he fell off the horse,وہ گھوڑے سے گر گیا
i ate already,میں پہلے ہی کھا چکا ہوں۔
nothing is working,کچھ بھی کام نہیں کر رہا ہے
i am not hungry at all,میں بالکل بھوکا نہیں ہوں۔
i cant leave now,میں اب نہیں جا سکتا
come again tomorrow,کل دوبارہ آنا
think about it,اس کے بارے میں سوچیں
my feet are swollen,میرے پاؤں سوج گئے ہیں
i washed my feet,میں نے اپنے پاؤں دھوئے۔
she kept on working,وہ کام کرتا رہا
our cat is missing,ہماری بلی غائب ہے
what a strange dog,کیا عجیب کتا ہے
i dont love you,مجھے آپ سے پیار ہے
mary is pretty,مریم خوبصورت ہے
wheres your school,آپ کا سکول کہاں ہے
its hailing,اس کا استقبال
i know what i want,میں جانتا ہوں کہ میں کیا چاہتا ہوں۔
zain did it for money,زین نے یہ پیسے کے لیے کیا۔
we went to russia,ہم روس گئے
i had to accept it,مجھے اسے قبول کرنا پڑا
my toy is broken,میرا کھلونا ٹوٹ گیا ہے۔
i arrived in london,میں لندن پہنچا
try it again,دوبارہ کوشش کریں
i want an attorney,مجھے ایک وکیل چاہیے
its alive,یہ زندہ ہے
my room number is,میرا کمرہ نمبر ہے
its all over now,اب سب ختم
what are your likes and dislikes,آپ کی پسند اور ناپسند کیا ہے
zain was held hostage,زین کو یرغمال بنایا گیا تھا۔
he is never lazy,وہ کبھی سست نہیں ہوتا
zain is shaking,زین لرز رہا ہے
he used to live here,وہ یہاں رہتا تھا
stop making so much noise,اتنا شور مچانا بند کرو
dont slam the door,دروازہ بند نہ کرو
i am missing a sock,مجھے ایک جراب یاد آرہا ہے۔
how did they find out,انہیں کیسے پتہ چلا
lets take a rest,چلو آرام کرتے ہیں
she spoke rapidly,وہ تیزی سے بولی
freeze,منجمد کریں
he gave it a new name,اس نے اسے ایک نیا نام دیا
wheres zain anyway,زین ویسے بھی کہاں ہے
donâ€™t insist,اصرار نہ کرو
i know zain very well,میں زین کو اچھی طرح جانتا ہوں۔
i hope its enough,مجھے امید ہے کہ یہ کافی ہے
let go of me,مجھے جانے دو
zain is in the forest,زین جنگل میں ہے۔
i love both of them,میں ان دونوں سے پیار کرتا ہوں۔
zain got hit by a car,زین کو گاڑی نے ٹکر مار دی۔
the boy is nice,لڑکا اچھا ہے
how long ago was that,یہ کتنا عرصہ پہلے تھا
please give me one,براہ کرم مجھے ایک دیں۔
i am well,میں ٹھیک ہوں
zain is making faces,زین چہرے بنا رہا ہے۔
zain is a psychopath,زین ایک نفسیاتی مریض ہے۔
i had like to check out,مجھے چیک آؤٹ کرنا پسند تھا۔
zain didnt resist,زین نے مزاحمت نہیں کی۔
it was a joke,یہ ایک مذاق تھا
i am not ready yet,میں ابھی تک تیار نہیں ہوں۔
thats logical,یہ منطقی ہے
she smiled at him,وہ اس پر مسکرایا
you dont look so good,تم اتنے اچھے نہیں لگتے
i often hiccup,مجھے اکثر ہچکی آتی ہے۔
it shouldnt matter,اس سے کوئی فرق نہیں پڑتا
thats no secret,یہ کوئی راز نہیں ہے
i took my shoes off,میں نے اپنے جوتے اتار دیئے۔
keep on smiling,مسکراتے رہیں
shes too loud,وہ بہت بلند ہے
i want to be rich,میں امیر بننا چاہتا ہوں۔
thats a table,یہ ایک میز ہے
i havent got all day,میرے پاس سارا دن نہیں ہے۔
can i play you a song,کیا میں آپ کو گانا چلا سکتا ہوں؟
i learned it by heart,میں نے اسے دل سے سیکھا۔
he died yesterday,وہ کل مر گیا
wheres the exit,باہر نکلنا کہاں ہے
whos going,کون جا رہا ہے
"hurry up! otherwise, you will miss the train","جلدی کرو! دوسری صورت میں، آپ کو ٹرین چھوٹ جائے گی"
what was zain like,زین کیسا تھا
blow out the candles,موم بتیاں اڑا دو
you are gross,آپ بیوقوف ہیں
go ahead and ask tom,آگے بڑھو اور ٹام سے پوچھو
wheres the rest,باقی کہاں ہیں
is that all you have,یہ سب آپ کے پاس ہے؟
i hate riddles,مجھے پہیلیوں سے نفرت ہے۔
it wonâ€™t be that easy,یہ اتنا آسان نہیں ہوگا
they donâ€™t go to school tomorrow,وہ کل اسکول نہیں جائیں گے۔
he must be tired,وہ تھکا ہوا ہوگا
zain didnt help much,زین نے زیادہ مدد نہیں کی۔
i have an idea,مرے پاس ایک تجویز ہے
you shouldn't eat here,آپ کو یہاں نہیں کھانا چاہیے۔
it is cloudy today,آج ابر آلود ہے۔
how do you prove that,آپ اسے کیسے ثابت کرتے ہیں
you have to stay fit,آپ کو فٹ رہنا ہے
is the cat all right,کیا بلی ٹھیک ہے؟
i am chinese,میں چینی ہوں
dont climb on this,اس پر مت چڑھو
he sometimes loses hope ,وہ کبھی کبھار امید کھو دیتا ہے۔
shes seventeen,وہ سترہ سال کی ہے۔
wake them up,انہیں جگاؤ
give me a call,مجھے فون کر دینا
duty calls,ڈیوٹی کالز
zain will be so proud,زین کو بہت فخر ہو گا۔
i am a little tired,میں تھوڑا تھکا ہوا ہوں
this is toms,یہ ٹومز ہے
zain packed his bags,زین نے اپنا بیگ پیک کیا۔
were you in america last month,کیا آپ پچھلے مہینے امریکا میں تھے؟
zain looked fatigued,زین تھکا ہوا لگ رہا تھا
i have a terrible pain,مجھے بہت بڑی درد ہو رہی ہے۔
i felt a deep pain,میں نے گہرا درد محسوس کیا۔
she made me a cake,اس نے مجھے کیک بنایا
it belongs to us,یہ ہمارا ہے
